liquidity_rank,oracle_id,name,price,liquidity_score,bucket,spread_pct,n_providers,has_buylist,retail_cv,move_freq,n_obs_120d,edhrec_rank,is_reserved_list,spread_score,depth_score,activity_score,demand_score,is_imputed,snapshot_date
1,b1544f21-7e98-461b-aed5-e748b0168c52,Swords to Plowshares,9.63,91.9954,Highly liquid,0.3992,4,True,0.1093,0.9928,3036.0,,0.0,98.6325,75.0646,99.8848,,False,2026-07-16
2,e828b189-0e8f-43b8-b909-4c23e742e028,Ghostly Prison,5.48,91.9768,Highly liquid,0.3914,4,True,0.175,0.9911,897.0,,0.0,99.0404,74.621,99.5445,,False,2026-07-16
3,16629f59-bae8-4c19-bf50-443eb0ed6856,Felidar Retreat,5.305,91.6531,Highly liquid,0.3914,4,True,0.1418,0.9731,484.0,,0.0,99.0404,74.9004,97.8196,,False,2026-07-16
4,c8d95ca8-7d12-4072-aeaf-e20f248c7e39,Scrubland,307.295,91.519,Highly liquid,0.35,4,True,0.2554,0.98,350.0,,1.0,99.7153,73.6081,97.515,,False,2026-07-16
5,89ca686a-7c72-4d8f-9290-e89635624a83,Cavern of Souls,58.455,91.4833,Highly liquid,0.3999,4,True,0.1084,0.9903,414.0,,0.0,98.3273,75.0683,98.3141,,False,2026-07-16
6,f525cf10-e24c-4c46-9a13-6f8579d09d50,Winds of Change,25.505,91.4136,Highly liquid,0.3665,4,True,0.2764,0.9829,350.0,,0.0,99.6156,73.2525,97.7109,,False,2026-07-16
7,d1b815d1-2848-40d4-a555-66822d1becbc,Channel,60.87,91.2501,Highly liquid,0.3428,4,True,0.3541,0.9839,560.0,,0.0,99.865,71.4546,98.7647,,False,2026-07-16
8,44661108-d72f-4d02-9303-7e4b0ecf7e9c,Bear Umbra,17.545,91.2362,Highly liquid,0.3568,4,True,0.1856,0.9674,276.0,,0.0,99.6831,74.5175,95.2407,,False,2026-07-16
9,3608f1f7-8dc5-4dd1-ae91-c830e1de9529,Icy Manipulator,61.995,91.1515,Highly liquid,0.3428,4,True,0.3485,0.9675,830.0,,0.0,99.865,71.6318,98.1241,,False,2026-07-16
10,4eb813fd-2d5a-4b02-8193-662681ef4e7d,Farewell,5.78,91.1418,Highly liquid,0.392,4,True,0.2853,0.9942,347.0,,0.0,98.9817,73.0666,98.0559,,False,2026-07-16
11,e9f5feb2-2c1a-46ce-885a-4f378d7d10af,Mystic Gate,4.6,91.1048,Highly liquid,0.3587,4,True,0.2023,0.9603,277.0,,0.0,99.6713,74.3404,94.9273,,False,2026-07-16
12,67d60b24-d429-4ded-90d9-06e49f28c396,Verdant Catacombs,48.485,91.059,Highly liquid,0.3999,4,True,0.2288,0.9913,345.0,,0.0,98.3684,74.0064,97.7559,,False,2026-07-16
13,f25351e3-539b-4bbc-b92d-6480acf4d722,City of Brass,19.52,91.0063,Highly liquid,0.4128,4,True,0.2852,0.9914,698.0,,0.0,98.0309,73.0716,99.3755,,False,2026-07-16
14,713332c1-5bd8-400f-bfff-c1ca0697a043,Opt,8.675,90.8972,Highly liquid,0.3875,4,True,0.1248,0.9083,829.0,,0.0,99.2517,74.9952,94.0658,,False,2026-07-16
15,de7839fb-7040-48ab-a6d4-d1952972943d,Black Vise,10.495,90.8764,Highly liquid,0.3745,4,True,0.3579,0.9855,414.0,,0.0,99.4776,71.3642,98.0641,,False,2026-07-16
16,09ff28b1-b6c9-48e6-b12e-2f0e644f709f,Gravecrawler,38.24,90.8739,Highly liquid,0.4209,4,True,0.2222,0.9938,482.0,,0.0,97.4263,74.0932,98.745,,False,2026-07-16
17,74a62c7b-4753-4af2-b7a1-9a4ae8988801,Puresteel Paladin,37.47,90.8239,Highly liquid,0.3999,4,True,0.2904,0.9831,413.0,,0.0,98.4681,72.9948,97.8219,,False,2026-07-16
18,b3d99ea0-d61f-4394-8913-b4057c38ff3e,Stonehewer Giant,7.815,90.805,Highly liquid,0.3875,4,True,0.2216,0.9714,210.0,,0.0,99.2517,74.0994,94.7937,,False,2026-07-16
19,5f7f133e-58ea-41ab-b1be-be4b400fac4c,Coat of Arms,24.54,90.8006,Highly liquid,0.4284,4,True,0.187,0.9946,554.0,,0.0,96.7837,74.5021,99.2074,,False,2026-07-16
20,bd3eeaba-964b-49ea-bb11-5875a78b8a4c,Rubinia Soulsinger,15.72,90.7913,Highly liquid,0.3902,4,True,0.1331,0.9424,278.0,,0.0,99.1196,74.9549,93.9303,,False,2026-07-16
21,6587a463-a108-4854-b6d1-944e89b8c8a4,Wooded Foothills,16.875,90.7841,Highly liquid,0.4128,4,True,0.1793,0.9891,276.0,,0.0,98.0309,74.5764,96.5502,,False,2026-07-16
22,8c31fec9-e4b3-4761-990e-7be38eb05604,Karmic Guide,17.475,90.7406,Highly liquid,0.4283,4,True,0.1527,0.9815,487.0,,0.0,96.8717,74.8267,98.3709,,False,2026-07-16
23,c718911c-c955-4eb9-9e16-be4bd49a4e4e,Volcanic Island,476.32,90.732,Highly liquid,0.35,4,True,0.3029,0.9571,280.0,,1.0,99.7007,72.7816,95.2325,,False,2026-07-16
24,3d873e1d-4fac-42c4-bb31-77e76099e1ef,The Rack,17.815,90.7211,Highly liquid,0.4128,4,True,0.1997,0.971,345.0,,0.0,98.0309,74.3633,96.5488,,False,2026-07-16
25,04152e7a-969c-4858-841b-0a569a9fc1bf,Professional Face-Breaker,5.53,90.6914,Highly liquid,0.3992,4,True,0.26,0.9891,275.0,,0.0,98.6882,73.5356,96.1426,,False,2026-07-16
26,96162b22-41e7-4559-aa1b-c18f42abcb52,Jade Statue,8.57,90.6727,Highly liquid,0.3875,4,True,0.2903,0.9514,350.0,,0.0,99.2517,72.9972,95.6089,,False,2026-07-16
27,eeaac65a-3480-475a-bb28-e6375d53f487,Vault of the Archangel,27.61,90.658,Highly liquid,0.4284,4,True,0.1594,0.9814,483.0,,0.0,96.7837,74.7765,98.2583,,False,2026-07-16
28,74d3277a-38e5-4732-afed-084a56148f20,Mana Drain,52.845,90.6552,Highly liquid,0.3999,4,True,0.201,0.9746,276.0,,0.0,98.3273,74.354,95.6877,,False,2026-07-16
29,8ddfc283-c9b4-41a5-af88-cf0068e986cc,Swan Song,11.95,90.6419,Highly liquid,0.3996,4,True,0.2608,0.9927,275.0,,0.0,98.5239,73.5232,96.2765,,False,2026-07-16
30,a784481f-eccb-4112-bb38-04a659319660,Pitiless Plunderer,3.705,90.5666,Highly liquid,0.4171,4,True,0.2474,0.9855,345.0,,0.0,97.6406,73.7277,97.4674,,False,2026-07-16
31,53236dd7-845a-444c-96d5-f41ed7325d8f,Rhystic Study,69.275,90.5503,Highly liquid,0.3999,4,True,0.273,0.9856,277.0,,0.0,98.2686,73.3107,96.6631,,False,2026-07-16
32,14693689-d087-43b6-9c3f-63ab0648fc20,All Is Dust,5.005,90.5276,Highly liquid,0.3992,4,True,0.3112,0.9767,344.0,,0.0,98.6325,72.6237,96.6978,,False,2026-07-16
33,e87906d2-db1a-4e19-b910-adb4eb339945,"Urza, Lord High Artificer",15.18,90.5174,Highly liquid,0.3997,4,True,0.1564,0.9855,207.0,,0.0,98.5063,74.8013,94.185,,False,2026-07-16
34,6ca2a89e-7032-4864-b4e9-66f3178f90ab,Essence Warden,9.15,90.5145,Highly liquid,0.3882,4,True,0.3513,0.9797,344.0,,0.0,99.2018,71.5215,96.881,,False,2026-07-16
35,5da7eea8-bb9e-47ce-a554-8a1ee058bd7a,Beast Whisperer,7.675,90.5122,Highly liquid,0.4162,4,True,0.3073,0.9879,413.0,,0.0,97.8636,72.7036,98.07,,False,2026-07-16
